ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
11804007;82449487;285;317;32;28/10/2020;202010;60;DOM
11413003;82369852;939;1104;165;28/10/2020;202010;60;DOM
11413008;82369826;773;777;4;28/10/2020;202010;60;DOM
11413009;82369729;251;283;32;28/10/2020;202010;60;DOM
11413001;82368659;2555;2989;434;28/10/2020;202010;60;DOM
11413019;37219570365;1;4;3;28/10/2020;202010;60;DOM
11413017;82448566;13;17;4;28/10/2020;202010;60;DOM
11413018;82448640;22;26;4;28/10/2020;202010;60;DOM
11413006;37219571256;8;21;13;28/10/2020;202010;60;DOM
11413005;82369710;560;626;66;28/10/2020;202010;60;DOM
11413013;82369767;1939;1985;46;28/10/2020;202010;60;DOM
11413015;41236305;4415;4938;523;28/10/2020;202010;30;PRO
11413023;37219572106;17;41;24;28/10/2020;202010;60;DOM
11413024;37219570878;0;11;11;28/10/2020;202010;60;DOM
11413004;82369868;202;231;29;28/10/2020;202010;60;DOM
11413020;37219570787;2;3;1;28/10/2020;202010;60;DOM
11413002;141826432;287;317;30;28/10/2020;202010;60;DOM
11413010;3721957498;27;93;66;28/10/2020;202010;60;DOM
11413016;82450379;60;87;27;28/10/2020;202010;60;DOM
11413022;37219571876;2;5;3;28/10/2020;202010;60;DOM
11808002;82368567;818;858;40;28/10/2020;202010;60;DOM
11808011;82450292;736;898;162;28/10/2020;202010;60;DOM
11808010;82368807;236;270;34;28/10/2020;202010;60;DOM
11808003;82448556;194;246;52;28/10/2020;202010;60;DOM
11808001;82368831;216;253;37;28/10/2020;202010;60;DOM
11808004;82448691;26;31;5;28/10/2020;202010;60;DOM
11808009;82448911;129;198;69;28/10/2020;202010;60;DOM
11808006;82450407;816;877;61;28/10/2020;202010;60;DOM
11808005;82448713;44;62;18;28/10/2020;202010;60;DOM
11414006;37219574243;0;17;17;28/10/2020;202010;60;DOM
11422097;82369736;113;125;12;28/10/2020;202010;60;DOM
11414003;82369212;160;181;21;28/10/2020;202010;60;DOM
11414004;82369712;1357;1409;52;28/10/2020;202010;60;DOM
11414001;6465;2804;2870;66;28/10/2020;202010;60;DOM
11414005;37219571116;10;24;14;28/10/2020;202010;60;DOM
11810110;82368053;388;434;46;28/10/2020;202010;60;DOM
11810111;82449785;29;47;18;28/10/2020;202010;60;DOM
11810087;82449368;23;44;21;28/10/2020;202010;60;DOM
11810128;82449730;18;50;32;28/10/2020;202010;60;DOM
11810140;37219571801;22;40;18;28/10/2020;202010;60;DOM
