ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
24308039;14250494367;216;253;37;23/10/2020;202010;60;DOM
24308016;150303-0389;4999;5039;40;23/10/2020;202010;60;DOM
24340036;37219576271-3;525;641;116;22/10/2020;202010;60;DOM
24305017;150303-0081;6199;6248;49;23/10/2020;202010;60;DOM
22531011;82369260;589;694;105;27/10/2020;202010;60;DOM
24340039;37219576289-5;22;29;8;22/10/2020;202010;60;DOM
24301026;170809-0325;4073;4124;51;23/10/2020;202010;60;DOM
22301212;37219576198-8;663;699;36;27/10/2020;202010;60;DOM
24342098;37219576297-8;1;2;1;22/10/2020;202010;60;DOM
22301218;37219578996-3;19;297;278;27/10/2020;202010;60;DOM
22523110;82450689;31;31;0;28/10/2020;202010;60;DOM
22308194;37219567486-8;287;406;119;22/10/2020;202010;60;DOM
23501054;170404-0034;6503;6756;253;23/10/2020;202010;60;DOM
22501046;150303-0247;7922;8191;269;28/10/2020;202010;60;DOM
22501033;150303-0270;8175;8526;351;28/10/2020;202010;60;DOM
24305015;150303-0083;10203;10491;288;23/10/2020;202010;60;DOM
24342109;37219576305-9;92;174;55;22/10/2020;202010;60;DOM
22701010;150303-0323;2076;2107;31;23/10/2020;202010;60;DOM
23501032;170404-0051;2648;2755;107;23/10/2020;202010;60;DOM
22523074;82450694;957;1369;412;28/10/2020;202010;60;DOM
22304012;1503030024;5458;5458;0;27/10/2020;202010;60;DOM
22704046;82449964;206;248;42;23/10/2020;202010;60;DOM
22324007;82450665;404;445;41;27/10/2020;202010;60;DOM
22705037;170809-0217;1376;1405;29;23/10/2020;202010;60;DOM
22523075;82450695;31;40;10;28/10/2020;202010;60;DOM
22523040;82450700;35;477;442;28/10/2020;202010;60;DOM
22704035;82448582;550;600;50;23/10/2020;202010;60;DOM
24343023;170809-0261;4951;5115;164;26/10/2020;202010;60;DOM
23501069;170809-0295;3416;3521;105;23/10/2020;202010;60;DOM
22324110;82450669;1360;1487;127;27/10/2020;202010;60;DOM
22324017;82450672;36;45;9;27/10/2020;202010;60;DOM
24342122;37219576347-1;15;30;15;22/10/2020;202010;60;DOM
22324004;82450691;893;924;31;27/10/2020;202010;60;DOM
22324013;82450701;800;959;159;27/10/2020;202010;60;DOM
22324012;82450709;139;168;29;27/10/2020;202010;60;DOM
22324104;82450343;50;66;16;27/10/2020;202010;60;DOM
24342013;37219576438-8;11;15;4;22/10/2020;202010;60;DOM
22324005;82450729;663;728;65;27/10/2020;202010;60;DOM
22324016;82450777;720;853;133;27/10/2020;202010;60;DOM
24302071;170809-0323;264;274;10;27/10/2020;202010;60;DOM
23501070;170809-0296;895;944;49;23/10/2020;202010;60;DOM
24308029;150303-0431;10303;10615;312;23/10/2020;202010;60;DOM
22705010;150303-0038;6815;6898;83;23/10/2020;202010;60;DOM
24342114;37219576446-1;163;197;34;22/10/2020;202010;60;DOM
23501025;170809-0347;1541;1675;134;23/10/2020;202010;60;DOM
24304075;37219577964-2;27;36;9;23/10/2020;202010;60;DOM
22523101;82450705;11;11;0;28/10/2020;202010;60;DOM
22501007;150303-0332;11842;11958;116;28/10/2020;202010;60;DOM
23509022;170809-0106;4563;4862;299;26/10/2020;202010;60;DOM
23401015;37219579622-4;124;180;56;26/10/2020;202010;60;DOM
24308012;150303-0487;7986;8249;263;23/10/2020;202010;60;DOM
