ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours
23102005;123;340;404;64;;202022;30
23501010;123;4114;4228;114;;202022;30
23501009;123;3078;3266;188;;202022;30
23501024;123;2187;2259;72;;202022;30
23501015;123;11290;11735;445;;202022;30
23501014;123;6687;6768;81;;202022;30
23501012;123;10087;10317;230;;202022;30
23501033;123;3116;3195;79;;202022;30
23501054;123;2020;2209;189;;202022;30
23501069;123;355;426;71;;202022;30
23501056;123;1926;2059;133;;202022;30
23501032;123;964;1078;114;;202022;30
23501068;123;377;461;84;;202022;30
23501070;123;290;327;37;;202022;30
22101011;123;3351;3456;105;;202022;30
22101012;123;3669;3824;155;;202022;30
22101008;123;3837;4002;165;;202022;30
22101009;123;2797;2947;150;;202022;30
22101010;123;3954;4109;155;;202022;30
22101018;123;3425;3499;74;;202022;30
22101016;123;1819;1871;52;;202022;30
22101019;123;1965;1998;33;;202022;30
22101028;123;666;708;42;;202022;30
22101032;123;1527;1605;78;;202022;30
22101021;123;1103;1214;111;;202022;30
22101038;123;1897;1949;52;;202022;30
22101041;123;3443;3694;251;;202022;30
22101029;123;2559;2718;159;;202022;30
22101043;123;3543;3709;166;;202022;30
22101020;123;3798;3976;178;;202022;30
22101042;123;2015;2063;48;;202022;30
22101044;123;1926;2035;109;;202022;30
24301028;123;104;111;7;;202022;30
22101045;123;2698;2854;156;;202022;30
22101055;123;1945;2107;162;;202022;30
22101058;123;44;59;15;;202022;30
22101060;123;43;60;17;;202022;30
22101057;123;48;71;23;;202022;30
22101059;123;0;29;29;;202022;30
24301009;123;2540;2720;180;;202022;30
24301013;123;5437;5521;84;;202022;30
24301027;123;1076;1183;107;;202022;30
24301026;123;1891;2034;143;;202022;30
22405004;123;4285;4528;243;;202022;30
22405001;123;2734;2968;234;;202022;30
22405003;123;3921;4031;110;;202022;30
22405006;123;2011;2141;130;;202022;30
22405002;123;2287;2361;74;;202022;30
22405012;123;1621;1817;196;;202022;30
22405010;123;1567;1656;89;;202022;30
22405010;123;1567;1656;89;;202022;30
22405007;123;2237;2390;153;;202022;30
22405008;123;3378;3518;140;;202022;30
22405014;123;527;699;172;;202022;30
22405013;123;483;565;82;;202022;30
22405015;123;0;183;183;;202022;30
41102005;123;3917;4214;297;;202022;30
41101010;123;4293;4482;189;;202022;30
41106001;123;588;617;29;;202022;30
41101005;123;3500;3540;40;;202022;30
41101007;123;4124;4294;170;;202022;30
41102007;123;1682;1704;22;;202022;30
41101016;123;109;127;18;;202022;30
41102008;123;2621;2715;94;;202022;30
41102004;123;3581;3838;257;;202022;30
41102012;123;1506;1584;78;;202022;30
41103004;123;3664;3780;116;;202022;30
41103006;123;3198;3349;151;;202022;30
41103001;123;451;479;28;;202022;30
41101015;123;42175;44457;2282;;202022;30
41103009;123;653;689;36;;202022;30
41102016;123;358;374;16;;202022;30
41103011;123;204;248;44;;202022;30
41103010;123;2645;2720;75;;202022;30
41104002;123;8159;8497;338;;202022;30
41103012;123;115;139;24;;202022;30
41104005;123;4151;4306;155;;202022;30
41104013;123;3182;3312;130;;202022;30
41104003;123;3363;3404;41;;202022;30
41104026;123;5230;5446;216;;202022;30
41104018;123;3248;3404;156;;202022;30
41104024;123;3505;3581;76;;202022;30
41104019;123;7234;7516;282;;202022;30
41104027;123;767;817;50;;202022;30
41104028;123;309;362;53;;202022;30
41105004;123;792;842;50;;202022;30
41105005;123;3958;4177;219;;202022;30
41105007;123;783;816;33;;202022;30
41105009;123;2867;2920;53;;202022;30
41105011;123;2690;2788;98;;202022;30
41105012;123;2211;2402;191;;202022;30
41105014;123;3617;3773;156;;202022;30
41105013;123;2649;2757;108;;202022;30
41105015;123;409;437;28;;202022;30
41105016;123;95;104;9;;202022;30
41105003;123;3545;3775;230;;202022;30
41105018;123;94;115;21;;202022;30
41106011;123;2963;3101;138;;202022;30
41106004;123;2802;2922;120;;202022;30
41106006;123;2806;2929;123;;202022;30
41106007;123;821;878;57;;202022;30
41106005;123;6724;7045;321;;202022;30
41106008;123;3428;3572;144;;202022;30
41106002;123;4169;4378;209;;202022;30
41106009;123;2497;2663;166;;202022;30
41106010;123;7069;7414;345;;202022;30
41106012;123;2289;2520;231;;202022;30
24302018;123;1317;1332;15;;202022;30
24302013;123;4002;4202;200;;202022;30
24302027;123;3744;3861;117;;202022;30
24302003;123;3372;3427;55;;202022;30
24302038;123;8942;9360;418;;202022;30
24302041;123;7412;7782;370;;202022;30
24302029;123;3644;3754;110;;202022;30
24302026;123;5025;5155;130;;202022;30
24302020;123;919;978;59;;202022;30
24302001;123;357;394;37;;202022;30
24302071;123;153;158;5;;202022;30
24302068;123;907;959;52;;202022;30
24302014;123;204;247;43;;202022;30
24302065;123;1753;1877;124;;202022;30
24302024;123;223;260;37;;202022;30
24302008;123;332;405;73;;202022;30
23804004;123;2158;2197;39;;202022;30
22201016;123;7882;8275;393;;202022;30
22201010;123;711;726;15;;202022;30
22201017;123;716;740;24;;202022;30
22201011;123;8585;9215;630;;202022;30
22201024;123;2016;2042;26;;202022;30
22201019;123;182173;187803;5630;;202022;30
22201018;123;13429;13769;340;;202022;30
22201026;123;1275;1343;68;;202022;30
22201029;123;2798;2860;62;;202022;30
22201023;123;8720;8920;200;;202022;30
22201007;123;3740;3758;18;;202022;30
22201039;123;18273;19247;974;;202022;30
22201038;123;6314;6764;450;;202022;30
22201045;123;1727;1788;61;;202022;30
22201046;123;7360;7508;148;;202022;30
22201035;123;2372;2420;48;;202022;30
22201030;123;18075;18726;651;;202022;30
22201044;123;5989;6239;250;;202022;30
22201054;123;19498;20525;1027;;202022;30
22201050;123;3892;4024;132;;202022;30
22201041;123;8829;9250;421;;202022;30
22201052;123;696;754;58;;202022;30
22201053;123;1158;1205;47;;202022;30
22201056;123;3077;3170;93;;202022;30
22201057;123;2927;2947;20;;202022;30
22201058;123;1041;1211;170;;202022;30
22201060;123;516;521;5;;202022;30
41102013;123;2736;2856;120;;202022;30
22201064;123;2816;2993;177;;202022;30
22201065;123;2596;2675;79;;202022;30
22201078;123;457;471;14;;202022;30
22201062;123;560;626;66;;202022;30
22201063;123;221;235;14;;202022;30
22201008;123;2300;2439;139;;202022;30
22201079;123;3470;3694;224;;202022;30
22201074;123;1749;1907;158;;202022;30
22201084;123;2384;2554;170;;202022;30
22201088;123;1164;1288;124;;202022;30
22201086;123;79;90;11;;202022;30
22201087;123;133;158;25;;202022;30
22201080;123;443;512;69;;202022;30
22201089;123;365;497;132;;202022;30
22201092;123;1492;1525;33;;202022;30
22201094;123;33;107;74;;202022;30
22308001;123;458;544;86;;202022;30
22308036;123;993;1211;218;;202022;30
22308002;123;413;491;78;;202022;30
22308039;123;695;857;162;;202022;30
22308003;123;1091;1381;290;;202022;30
22308050;123;362;499;137;;202022;30
22308026;123;744;886;142;;202022;30
22308020;123;902;1093;191;;202022;30
22308025;123;856;1071;215;;202022;30
22308049;123;625;889;264;;202022;30
22308019;123;722;838;116;;202022;30
22308030;123;266;314;48;;202022;30
22308057;123;56;85;29;;202022;30
22308038;123;511;626;115;;202022;30
22308015;123;807;916;109;;202022;30
22308021;123;77;93;16;;202022;30
22308054;123;295;359;64;;202022;30
22308016;123;655;803;148;;202022;30
22308042;123;582;785;203;;202022;30
22308006;123;726;871;145;;202022;30
22308010;123;43435;51553;8118;;202022;30
22308053;123;43;55;12;;202022;30
22308032;123;161;184;23;;202022;30
22308017;123;101;128;27;;202022;30
22308046;123;395;497;102;;202022;30
22308044;123;461;526;65;;202022;30
22308004;123;200;247;47;;202022;30
22308043;123;654;855;201;;202022;30
22308047;123;102;131;29;;202022;30
22308034;123;396;498;102;;202022;30
22308040;123;463;561;98;;202022;30
22308041;123;164;289;125;;202022;30
22308056;123;645;776;131;;202022;30
22308027;123;503;690;187;;202022;30
22308045;123;215;246;31;;202022;30
22308028;123;862;1021;159;;202022;30
22308024;123;38;44;6;;202022;30
22308033;123;818;1140;322;;202022;30
22308035;123;453;563;110;;202022;30
22308048;123;526;744;218;;202022;30
22308052;123;105;121;16;;202022;30
22308029;123;154;172;18;;202022;30
22308012;123;5397;5856;459;;202022;30
22308051;123;761;946;185;;202022;30
22308014;123;1355;2147;792;;202022;30
22308080;123;1642;2792;1150;;202022;30
22308011;123;195;255;60;;202022;30
22308076;123;57;73;16;;202022;30
22308018;123;20;32;12;;202022;30
22308062;123;778;949;171;;202022;30
22308070;123;4189;4487;298;;202022;30
22308066;123;22;81;59;;202022;30
22308022;123;410;490;80;;202022;30
22308061;123;186;300;114;;202022;30
22308073;123;30;52;22;;202022;30
22308078;123;54;69;15;;202022;30
22308065;123;227;317;90;;202022;30
22308031;123;25;37;12;;202022;30
22308079;123;158;288;130;;202022;30
22308074;123;73;116;43;;202022;30
22308077;123;22;33;11;;202022;30
22308081;123;111;210;99;;202022;30
22308008;123;118;205;323;;202022;30
22308082;123;60;111;51;;202022;30
22308058;123;181;319;380;;202022;30
22301057;123;5617;5755;138;;202022;30
22308083;123;94;135;41;;202022;30
22301058;123;5534;5661;127;;202022;30
22301059;123;6427;6578;151;;202022;30
22301061;123;6315;6341;26;;202022;30
22301056;123;4522;4680;158;;202022;30
22301072;123;3491;3545;54;;202022;30
22301077;123;4298;4395;97;;202022;30
22301078;123;14158;14672;514;;202022;30
22301075;123;50597;54907;4310;;202022;30
22301079;123;2172;2219;47;;202022;30
22301084;123;5363;5393;30;;202022;30
22301012;123;5464;5570;106;;202022;30
22301003;123;3467;3536;69;;202022;30
22301083;123;3745;3873;128;;202022;30
22301087;123;5247;5411;164;;202022;30
22301013;123;3612;3742;130;;202022;30
22301008;123;6622;6785;163;;202022;30
22301089;123;19692;20152;460;;202022;30
22301019;123;6321;6483;162;;202022;30
22301086;123;4649;4738;89;;202022;30
22301081;123;2049;2133;84;;202022;30
22301068;123;4397;4512;115;;202022;30
22301017;123;3165;3280;115;;202022;30
22301097;123;771;799;28;;202022;30
22301010;123;4549;4798;249;;202022;30
22301094;123;3722;3842;120;;202022;30
22301119;123;215;241;26;;202022;30
22301016;123;3108;3143;35;;202022;30
22301096;123;4390;4526;136;;202022;30
22301120;123;308;335;27;;202022;30
22301143;123;800;893;93;;202022;30
22301142;123;2668;2822;154;;202022;30
22301121;123;5362;5949;587;;202022;30
22301106;123;330;355;25;;202022;30
22301177;123;126;147;21;;202022;30
22301113;123;10153;10737;584;;202022;30
22301175;123;159;175;16;;202022;30
22301001;123;1080;1264;184;;202022;30
22301178;123;77;87;10;;202022;30
22301182;123;30;45;15;;202022;30
22301118;123;837;877;40;;202022;30
22302017;123;298;308;10;;202022;30
22302023;123;1104;1412;308;;202022;30
22117001;123;958;1043;85;;202022;30
22102002;123;1420;2023;603;;202022;30
22102007;123;1345;1645;300;;202022;30
23807002;123;493;613;120;;202022;30
22103004;123;2373;2443;70;;202022;30
22103010;123;6413;6647;234;;202022;30
22103009;123;4306;4479;173;;202022;30
22103011;123;6284;6533;249;;202022;30
22103012;123;5585;5712;127;;202022;30
22103013;123;1034;1080;46;;202022;30
22103014;123;3931;4121;190;;202022;30
22103016;123;4024;4194;170;;202022;30
22103021;123;41831;42430;599;;202022;30
22103015;123;5025;5208;183;;202022;30
22103017;123;3174;3361;187;;202022;30
22103049;123;1470;1630;160;;202022;30
22103042;123;1518;1575;57;;202022;30
22103053;123;1764;1885;121;;202022;30
22103054;123;3330;3654;324;;202022;30
22103052;123;509;578;69;;202022;30
22103051;123;828;863;35;;202022;30
22103041;123;2622;2871;249;;202022;30
22103058;123;1697;1883;186;;202022;30
22103054;123;3330;3654;324;;202022;30
22103053;123;1764;1885;121;;202022;30
22103052;123;509;578;69;;202022;30
22103041;123;2622;2871;249;;202022;30
22103058;123;1697;1883;186;;202022;30
22103051;123;828;863;35;;202022;30
22103062;123;964;1116;152;;202022;30
22103063;123;74;86;12;;202022;30
22103065;123;9;27;18;;202022;30
24303018;123;4838;5115;277;;202022;30
24303014;123;487;540;53;;202022;30
24303024;123;3743;3973;230;;202022;30
23810019;123;397;472;75;;202022;30
22601021;123;2456;2517;61;;202022;30
22601017;123;560;601;41;;202022;30
22601024;123;34378;36828;2450;;202022;30
22601020;123;835;897;62;;202022;30
22601006;123;5603;5857;254;;202022;30
22601014;123;3478;3597;119;;202022;30
22601013;123;1597;1823;226;;202022;30
22601004;123;2408;2487;79;;202022;30
22601007;123;3615;3721;106;;202022;30
22601012;123;2546;2668;122;;202022;30
22601016;123;8775;9354;579;;202022;30
22601055;123;4975;5468;493;;202022;30
22601033;123;983;1142;159;;202022;30
22303026;123;3878;4019;141;;202022;30
23107032;123;568;639;71;;202022;30
23107022;123;82;93;11;;202022;30
23107034;123;625;721;96;;202022;30
23107033;123;631;827;196;;202022;30
23107023;123;101;138;37;;202022;30
23107035;123;16;138;122;;202022;30
23101043;123;761;898;137;;202022;30
23812045;123;295;375;80;;202022;30
23812033;123;479;511;32;;202022;30
23812008;123;22;38;16;;202022;30
23812052;123;2180;2193;13;;202022;30
23107034;123;625;721;96;;202022;30
23107034;123;625;721;96;;202022;30
23107033;123;631;827;196;;202022;30
