Reference Contrat;N° COMPTEUR;Ancien index;Nouvel index;consommation;date de relève;periode
23102005;;340;404;64;;201811
23501010;;4114;4228;114;;201811
23501009;;3078;3266;188;;201811
23501024;;2187;2259;72;;201811
23501015;;11290;11735;445;;201811
23501014;;6687;6768;81;;201811
23501012;;10087;10317;230;;201811
23501033;;3116;3195;79;;201811
23501054;;2020;2209;189;;201811
23501069;;355;426;71;;201811
23501056;;1926;2059;133;;201811
23501032;;964;1078;114;;201811
23501068;;377;461;84;;201811
23501070;;290;327;37;;201811
22101011;;3351;3456;105;;201811
22101012;;3669;3824;155;;201811
22101008;;3837;4002;165;;201811
22101009;;2797;2947;150;;201811
22101010;;3954;4109;155;;201811
22101018;;3425;3499;74;;201811
22101016;;1819;1871;52;;201811
22101019;;1965;1998;33;;201811
22101028;;666;708;42;;201811
22101032;;1527;1605;78;;201811
22101021;;1103;1214;111;;201811
22101038;;1897;1949;52;;201811
22101041;;3443;3694;251;;201811
22101029;;2559;2718;159;;201811
22101043;;3543;3709;166;;201811
22101020;;3798;3976;178;;201811
22101042;;2015;2063;48;;201811
22101044;;1926;2035;109;;201811
24301028;;104;111;7;;201811
22101045;;2698;2854;156;;201811
22101055;;1945;2107;162;;201811
22101058;;44;59;15;;201811
22101060;;43;60;17;;201811
22101057;;48;71;23;;201811
22101059;;0;29;29;;201811
24301009;;2540;2720;180;;201811
24301013;;5437;5521;84;;201811
24301027;;1076;1183;107;;201811
24301026;;1891;2034;143;;201811
22405004;;4285;4528;243;;201811
22405001;;2734;2968;234;;201811
22405003;;3921;4031;110;;201811
22405006;;2011;2141;130;;201811
22405002;;2287;2361;74;;201811
22405012;;1621;1817;196;;201811
22405010;;1567;1656;89;;201811
22405010;;1567;1656;89;;201811
22405007;;2237;2390;153;;201811
22405008;;3378;3518;140;;201811
22405014;;527;699;172;;201811
22405013;;483;565;82;;201811
22405015;;0;183;183;;201811
41102005;;3917;4214;297;;201811
41101010;;4293;4482;189;;201811
41106001;;588;617;29;;201811
41101005;;3500;3540;40;;201811
41101007;;4124;4294;170;;201811
41102007;;1682;1704;22;;201811
41101016;;109;127;18;;201811
41102008;;2621;2715;94;;201811
41102004;;3581;3838;257;;201811
41102012;;1506;1584;78;;201811
41103004;;3664;3780;116;;201811
41103006;;3198;3349;151;;201811
41103001;;451;479;28;;201811
41101015;;42175;44457;2282;;201811
41103009;;653;689;36;;201811
41102016;;358;374;16;;201811
41103011;;204;248;44;;201811
41103010;;2645;2720;75;;201811
41104002;;8159;8497;338;;201811
41103012;;115;139;24;;201811
41104005;;4151;4306;155;;201811
41104013;;3182;3312;130;;201811
41104003;;3363;3404;41;;201811
41104026;;5230;5446;216;;201811
41104018;;3248;3404;156;;201811
41104024;;3505;3581;76;;201811
41104019;;7234;7516;282;;201811
41104027;;767;817;50;;201811
41104028;;309;362;53;;201811
41105004;;792;842;50;;201811
41105005;;3958;4177;219;;201811
41105007;;783;816;33;;201811
41105009;;2867;2920;53;;201811
41105011;;2690;2788;98;;201811
41105012;;2211;2402;191;;201811
41105014;;3617;3773;156;;201811
41105013;;2649;2757;108;;201811
41105015;;409;437;28;;201811
41105016;;95;104;9;;201811
41105003;;3545;3775;230;;201811
41105018;;94;115;21;;201811
