ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
11001012;170809-0383;5841;6026;185;25/02/2021;202104;60;DOM
11001020;82450485;66;67;1;25/02/2021;202104;60;DOM
11001023;37219570191;24;71;47;25/02/2021;202104;60;DOM
11003001;37219571157;42;70;28;25/02/2021;202104;60;DOM
11003003;37219571165;88;125;37;25/02/2021;202104;60;DOM
11003004;37219571082;71;110;39;25/02/2021;202104;60;DOM
11003005;37219570928;105;143;38;25/02/2021;202104;60;DOM
11003006;37219571124;592;881;289;25/02/2021;202104;60;DOM
11003007;37219571231;42;65;23;25/02/2021;202104;60;DOM
11003008;37219570969;16;26;10;25/02/2021;202104;60;DOM
11112003;82450515;1602;1787;185;25/02/2021;202104;60;DOM
11112018;82450259;63;86;23;25/02/2021;202104;60;DOM
11112019;82369532;1396;1486;90;25/02/2021;202104;60;DOM
11112020;2016-07098723;1380;1552;172;25/02/2021;202104;60;DOM
11112021;37219570811;11;44;33;25/02/2021;202104;60;DOM
11112022;82368808;1524;1859;335;25/02/2021;202104;60;DOM
11112023;82449119;153;197;44;25/02/2021;202104;60;DOM
11112024;82450156;1575;1948;373;25/02/2021;202104;60;DOM
11112025;82450676;131;159;28;25/02/2021;202104;60;DOM
11112026;82449195;1510;1755;245;25/02/2021;202104;60;DOM
11112027;14250517712;1223;1437;214;25/02/2021;202104;60;DOM
11112028;82448993;637;776;139;25/02/2021;202104;60;DOM
11112029;82450268;41;52;11;25/02/2021;202104;60;DOM
11112030;82449477;1500;1719;219;25/02/2021;202104;60;DOM
11112031;82449183;2014;2422;408;25/02/2021;202104;60;DOM
11112032;37219578558;38;57;19;25/02/2021;202104;60;DOM
11112033;11112033-int;24;240;216;25/02/2021;202104;60;DOM
11112034;37219578426;334;557;223;25/02/2021;202104;60;DOM
11112035;37219571587;266;414;148;25/02/2021;202104;60;DOM
11112036;37219571777;49;68;19;25/02/2021;202104;60;DOM
11112037;37219569854;410;671;261;25/02/2021;202104;60;DOM
11112039;37219578434;25;40;15;25/02/2021;202104;60;DOM
11112040;37219571678;35;47;12;25/02/2021;202104;60;DOM
11112041;37219578442;59;208;149;25/02/2021;202104;60;DOM
11112042;37219573369;0;117;117;25/02/2021;202104;60;DOM
11112043;37219578368;28;41;13;25/02/2021;202104;60;DOM
11112045;37219578418;21;46;25;25/02/2021;202104;60;DOM
11117004;37219570902;93;111;18;25/02/2021;202104;60;DOM
11117011;1708090232;2088;2285;197;25/02/2021;202104;60;DOM
11117012;82449282;526;577;51;25/02/2021;202104;60;DOM
11117013;1708090052;1441;1494;53;25/02/2021;202104;60;DOM
11117014;1708090053;416;463;47;25/02/2021;202104;60;DOM
11117015;1708090054;584;597;13;25/02/2021;202104;60;DOM
11117016;1708090231;812;852;40;25/02/2021;202104;60;DOM
11117017;1708090255;889;914;25;25/02/2021;202104;60;DOM
11117018;11117018-int;2008;2026;18;25/02/2021;202104;60;DOM
11117019;11117019-int;427;518;91;25/02/2021;202104;60;DOM
11117039;82369408;208;230;22;25/02/2021;202104;60;DOM
11117049;41236931;17224;19533;2309;25/02/2021;202104;60;PROD
11117050;14225393736;10359;10700;341;25/02/2021;202104;60;PROD
11117051;1708090041;3311;3485;174;25/02/2021;202104;60;DOM
11117052;1708090302;1018;1172;154;25/02/2021;202104;60;DOM
11117053;11117053-int;3719;3799;80;25/02/2021;202104;60;DOM
11117054;1708090234;5159;5380;221;25/02/2021;202104;60;DOM
11117055;141826390;2913;3209;296;25/02/2021;202104;60;DOM
11117056;82369669;3735;4068;333;25/02/2021;202104;60;DOM
11117057;82368769;1218;1299;81;25/02/2021;202104;60;PROD
11117058;82368402;1341;1502;161;25/02/2021;202104;60;DOM
11117059;82369553;2051;2314;263;25/02/2021;202104;60;DOM
11117060;82368742;1381;1571;190;25/02/2021;202104;60;DOM
11117061;82369650;267;303;36;25/02/2021;202104;60;DOM
11117062;82369519;753;830;77;25/02/2021;202104;60;DOM
11117063;82449251;76;88;12;25/02/2021;202104;60;DOM
11117064;82449316;200;243;43;25/02/2021;202104;60;DOM
11117065;82369261;310;322;12;25/02/2021;202104;60;DOM
11117066;82453405;1299;1538;239;25/02/2021;202104;60;DOM
11117067;82449345;695;759;64;25/02/2021;202104;60;DOM
11117068;82449271;380;451;71;25/02/2021;202104;60;DOM
11117069;82450487;201;232;31;25/02/2021;202104;60;DOM
11117070;82450677;575;722;147;25/02/2021;202104;60;DOM
11117071;37219569847;25;47;22;25/02/2021;202104;60;DOM
11117072;37219578476;88;121;33;25/02/2021;202104;60;DOM
11117073;37219571454;11;15;4;25/02/2021;202104;60;DOM
11117074;82450263;137;174;37;25/02/2021;202104;60;PROD
11117075;37219569946;731;890;159;25/02/2021;202104;60;DOM
11117076;37219568492;44;90;46;25/02/2021;202104;60;DOM
11117077;82450493;6128;6315;187;25/02/2021;202104;60;DOM
11117078;37219570225;120;201;81;25/02/2021;202104;60;DOM
11117079;37219571025;63;81;18;25/02/2021;202104;60;DOM
11117080;37219571496;76;127;51;25/02/2021;202104;60;DOM
11117081;37219570910;31;38;7;25/02/2021;202104;60;DOM
11117082;11117082-int;565;649;84;25/02/2021;202104;60;PROD
11117083;341290392;814;1225;411;25/02/2021;202104;60;PROD
11119012;1703060001;2942;3149;207;25/02/2021;202104;60;DOM
11119025;1704040002;4334;4561;227;25/02/2021;202104;60;DOM
11119026;1704040003;608;646;38;25/02/2021;202104;60;DOM
11119041;41289747;1324;1324;0;25/02/2021;202104;60;PROD
11119042;82453036;100;117;17;25/02/2021;202104;60;DOM
11119043;82453334;561;666;105;25/02/2021;202104;60;DOM
11119044;82453002;60;66;6;25/02/2021;202104;60;DOM
11119045;82453245;358;651;293;25/02/2021;202104;60;DOM
11119046;1604215698;60;82;22;25/02/2021;202104;60;DOM
11119047;82449779;2674;2997;323;25/02/2021;202104;60;DOM
11119048;37219573260;0;63;63;25/02/2021;202104;60;DOM
11120003;82450322;179;209;30;25/02/2021;202104;60;DOM
11123012;11123012-int;1380;1637;257;25/02/2021;202104;60;DOM
11123014;37219578400;0;27;27;25/02/2021;202104;60;DOM
11124001;41236458;51260;56911;5651;25/02/2021;202104;60;PROD
11124015;1604213788;388;402;14;25/02/2021;202104;60;DOM
11124032;1708090204;2701;2893;192;25/02/2021;202104;60;DOM
11124033;1708090202;1831;1969;138;25/02/2021;202104;60;DOM
11124034;1708090132;5339;5513;174;25/02/2021;202104;60;DOM
11124035;11124035-int;3855;3945;90;25/02/2021;202104;60;DOM
11124036;1708090390;2541;2652;111;25/02/2021;202104;60;DOM
11124037;1708090228;947;1009;62;25/02/2021;202104;60;DOM
11124038;1708090131;1026;1092;66;25/02/2021;202104;60;DOM
11124039;11124039-int;5756;5823;67;25/02/2021;202104;60;DOM
11124040;11124040-int;3463;3531;68;25/02/2021;202104;60;DOM
11124041;11124041-int;5188;5407;219;25/02/2021;202104;60;DOM
11124042;1708090389;854;865;11;25/02/2021;202104;60;DOM
11124044;1708090134;16233;17271;1038;25/02/2021;202104;60;DOM
11124045;1708090206;4234;4275;41;25/02/2021;202104;60;DOM
11124048;11124048-int;921;949;28;25/02/2021;202104;60;DOM
11124049;11124049-int;6640;7045;405;25/02/2021;202104;60;DOM
11124051;14250493781;3845;3913;68;25/02/2021;202104;60;DOM
11124052;14-2253-9377-7;13538;14558;1020;25/02/2021;202104;60;PROD
11124054;1425493716;375;386;11;25/02/2021;202104;60;DOM
11124057;11124057-int;3404;3417;13;25/02/2021;202104;60;DOM
11124058;11124058-int;2420;2654;234;25/02/2021;202104;60;DOM
11124059;170800242;4800;5043;243;25/02/2021;202104;60;DOM
11124064;14250493757;2790;3234;444;25/02/2021;202104;60;DOM
11124065;2,02E+11;56;64;8;25/02/2021;202104;60;DOM
11124066;1604214301;2858;2992;134;25/02/2021;202104;60;DOM
11124067;14250493765;3035;3100;65;25/02/2021;202104;60;DOM
11124068;14250493724;2612;2705;93;25/02/2021;202104;60;DOM
11124069;11124069-int;1986;1986;0;25/02/2021;202104;60;DOM
11124070;1604215217;460;501;41;25/02/2021;202104;60;DOM
11124078;14250493773;3239;3448;209;25/02/2021;202104;60;DOM
11124080;2,02E+11;3315;3467;152;25/02/2021;202104;60;DOM
11124091;141826411;500;607;107;25/02/2021;202104;60;DOM
11124095;1604213240;7187;7693;506;25/02/2021;202104;60;DOM
11124096;14250493732;3780;3913;133;25/02/2021;202104;60;DOM
11124097;141826406;4451;4627;176;25/02/2021;202104;60;DOM
11124098;11124098-int;0;1092;1092;25/02/2021;202104;60;DOM
11124099;14250493740;588;621;33;25/02/2021;202104;60;DOM
11124100;1604215190;3252;3515;263;25/02/2021;202104;60;DOM
11124101;1604214803;6925;7127;202;25/02/2021;202104;60;DOM
11124102;1604215773;280;292;12;25/02/2021;202104;60;DOM
11124103;141826416;985;2107;1122;25/02/2021;202104;60;DOM
11124104;1604215218;2083;2107;24;25/02/2021;202104;60;DOM
11124105;1604214804;4705;4951;246;25/02/2021;202104;60;DOM
11124106;14250515203;2566;2608;42;25/02/2021;202104;60;DOM
11124107;170507141;1893;2037;144;25/02/2021;202104;60;DOM
11124108;14225394379;1955;2664;709;25/02/2021;202104;60;PROD
11124109;170505239;2952;2979;27;25/02/2021;202104;60;DOM
11124110;141826409;308;340;32;25/02/2021;202104;60;DOM
11124111;141826461;1537;1693;156;25/02/2021;202104;60;DOM
11124112;141826410;509;540;31;25/02/2021;202104;60;DOM
11124113;141826417;998;1115;117;25/02/2021;202104;60;DOM
11124114;141826464;3755;3755;0;25/02/2021;202104;60;DOM
11124115;2,02E+11;1188;1337;149;25/02/2021;202104;60;DOM
11124116;2,02E+11;575;589;14;25/02/2021;202104;60;DOM
11124117;41285545;6673;7615;942;25/02/2021;202104;60;PROD
11124118;2,02E+11;4026;4066;40;25/02/2021;202104;60;DOM
11124119;2,02E+11;366;392;26;25/02/2021;202104;60;DOM
11124120;1604214775;1456;1522;66;25/02/2021;202104;60;DOM
11124121;2,02E+11;5017;5180;163;25/02/2021;202104;60;DOM
11124122;2,02E+11;300;304;4;25/02/2021;202104;60;DOM
11124123;82368446;1386;1626;240;25/02/2021;202104;60;DOM
11124124;11124124-int;264;298;34;25/02/2021;202104;60;DOM
11124125;82368824;246;254;8;25/02/2021;202104;60;DOM
11124126;82368356;1463;1675;212;25/02/2021;202104;60;DOM
11124127;82368719;1652;1847;195;25/02/2021;202104;60;DOM
11124128;82367979;2559;2755;196;25/02/2021;202104;60;DOM
11124129;82448717;1777;1897;120;25/02/2021;202104;60;DOM
11124130;82368292;3059;3237;178;25/02/2021;202104;60;DOM
11124131;82368351;2201;2458;257;25/02/2021;202104;60;DOM
11124132;82368451;235;246;11;25/02/2021;202104;60;DOM
11124134;82368186;310;397;87;25/02/2021;202104;60;DOM
11124135;82369623;2547;2755;208;25/02/2021;202104;60;DOM
11124136;82368958;669;683;14;25/02/2021;202104;60;DOM
11124137;82369460;132;143;11;25/02/2021;202104;60;DOM
11124138;82369636;230;239;9;25/02/2021;202104;60;DOM
11124139;82368327;2079;2273;194;25/02/2021;202104;60;DOM
11124140;82369538;1347;1416;69;25/02/2021;202104;60;DOM
11124141;82368381;257;281;24;25/02/2021;202104;60;DOM
11124142;82368464;565;588;23;25/02/2021;202104;60;DOM
11124143;82369035;119;128;9;25/02/2021;202104;60;DOM
11124144;82367856;2302;2477;175;25/02/2021;202104;60;DOM
11124145;82368445;2390;2591;201;25/02/2021;202104;60;DOM
11124146;82368922;156;195;39;25/02/2021;202104;60;DOM
11124147;82368880;838;868;30;25/02/2021;202104;60;DOM
11124148;82450168;34;38;4;25/02/2021;202104;60;DOM
11124149;82450229;1202;1445;243;25/02/2021;202104;60;DOM
11124150;82368299;4712;4904;192;25/02/2021;202104;60;DOM
11124151;82368774;67;75;8;25/02/2021;202104;60;DOM
11124152;82368173;64;68;4;25/02/2021;202104;60;DOM
11124153;82368315;1426;1505;79;25/02/2021;202104;60;DOM
11124155;82368341;1234;1486;252;25/02/2021;202104;60;DOM
11124156;82368396;2087;2230;143;25/02/2021;202104;60;DOM
11124157;82368307;146;157;11;25/02/2021;202104;60;DOM
11124158;82368389;225;246;21;25/02/2021;202104;60;DOM
11124159;82368430;1237;1253;16;25/02/2021;202104;60;DOM
11124160;11124160-int;376;398;22;25/02/2021;202104;60;DOM
11124161;82368288;145;161;16;25/02/2021;202104;60;DOM
11124162;82368803;970;1049;79;25/02/2021;202104;60;DOM
11124163;82369622;279;309;30;25/02/2021;202104;60;DOM
11124164;82368279;743;785;42;25/02/2021;202104;60;DOM
11124165;82368320;298;316;18;25/02/2021;202104;60;DOM
11124167;82368441;184;221;37;25/02/2021;202104;60;DOM
11124168;82367824;1288;1529;241;25/02/2021;202104;60;DOM
11124169;82449018;1444;1631;187;25/02/2021;202104;60;DOM
11124170;82368347;3512;3822;310;25/02/2021;202104;60;DOM
11124171;82368848;338;376;38;25/02/2021;202104;60;DOM
11124172;82368985;1850;1855;5;25/02/2021;202104;60;DOM
11124173;82369656;628;640;12;25/02/2021;202104;60;DOM
11124174;37219573237;0;50;50;25/02/2021;202104;60;DOM
11124175;2016-07099241;2;4;2;25/02/2021;202104;60;DOM
11124176;82368117;639;648;9;25/02/2021;202104;60;DOM
11124177;37219571074;177;216;39;25/02/2021;202104;60;DOM
11124178;82369869;145;192;47;25/02/2021;202104;60;DOM
11124179;82369405;1363;1500;137;25/02/2021;202104;60;DOM
11124180;82453049;1348;1539;191;25/02/2021;202104;60;DOM
11124181;82369492;115;134;19;25/02/2021;202104;60;DOM
11124182;82449313;760;781;21;25/02/2021;202104;60;DOM
11124183;82368899;187;204;17;25/02/2021;202104;60;DOM
11124184;82450486;29;33;4;25/02/2021;202104;60;DOM
11124185;82369888;1196;1393;197;25/02/2021;202104;60;DOM
11124186;37219571306;31;37;6;25/02/2021;202104;60;DOM
11124187;1704040001;367;538;171;25/02/2021;202104;60;DOM
11124188;82449378;100;250;150;25/02/2021;202104;60;DOM
11124189;82369124;189;232;43;25/02/2021;202104;60;DOM
11124190;37219569078;0;50;50;25/02/2021;202104;60;DOM
11124191;82369200;771;890;119;25/02/2021;202104;60;DOM
11124192;82369475;76;84;8;25/02/2021;202104;60;DOM
11124193;2018-01131038;1162;1167;5;25/02/2021;202104;60;DOM
11124194;82450262;714;721;7;25/02/2021;202104;60;DOM
11124195;82368091;285;318;33;25/02/2021;202104;60;DOM
11124196;82368696;1264;1359;95;25/02/2021;202104;60;DOM
